key,القيمة
err_dup_email,وتوجد بالفعل عنوان البريد الإلكتروني في النظام
err_dup_name,وجدت الاسم بالفعل في النظام
err_user_name_blank,يرجى تقديم اسم المستخدم
err_user_name_len,يجب أن يكون طول اسم المستخدم أكبر من 4
err_user_email_blank,يرجى تقديم عنوان البريد الإلكتروني
err_user_email_invalid,يرجى تقديم عنوان بريد إلكتروني صالح
err_user_email_exist,وتوجد بالفعل عنوان البريد الإلكتروني في النظام
err_user_pass_blank,يرجى تقديم كلمة المرور
err_user_pass_len,يجب أن يكون طول كلمة السر أكبر من 4
err_user_pass_conf_blank,يرجى تقديم تأكيد كلمة المرور
err_user_pass_conf_not_match,كلمة المرور وتأكيد كلمة المرور لا تتطابق
err_permission_blank,الرجاء تحديد الوحدات التي هي قادرة على الوصول
success_user_add,تمت إضافة المستخدم بنجاح
success_user_edit,تم تحديث المستخدم بنجاح
err_user_banned,عذرا، لا يمكنك الدخول لأنه يتم حظر حسابك.
cat_info,معلومات الفئة
cat_name,اسم التصنيف
cat_ordering,فئة ترتيب
cat_img,الفئة صورة الغلاف
cat_icon,فئة أيقونة
cat_search,البحث التصنيف
cat_select,حدد اسم التصنيف
cat_add,إضافة فئة
cat_edit,تحرير الفئة
success_cat_edit,تم تحديث فئة بنجاح
success_cat_add,تمت إضافة فئة بنجاح
success_cat_delete,لقد تم حذف الفئة بنجاح
err_cat_name,يرجى تقديم اسم الفئة
err_cat_len,يجب أن يكون طول اسم التصنيف أكبر من 4
err_cat_exist,وتوجد بالفعل اسم التصنيف في النظام
delete_cat_label,حذف الفئة؟
cat_delete_confirm_message,هل تريد حذف جميع الخلفيات تحت هذه الفئة معا؟
cat_yes_all_message,نعم جميع - الفئة وحدات وحذف من النظام.
cat_no_only_message,الوحيد الفئة - سوف الوحيد الفئة حذف من النظام.
cat_yes_all_label,نعم جميعا
cat_no_only_label,الوحيد الفئة
over_name,اسم يطل
over_search,البحث يطل
over_add,إضافة يطل
over_info,معلومات يطل
over_edit,تحرير يطل
delete_over_label,حذف يطل؟
over_delete_confirm_message,هل تريد حذف overlookings؟
over_yes_all_message,نعم الكل - يطل سيتم حذف من النظام.
success_over_edit,تم تحديث يطل بنجاح
success_over_add,تمت إضافة يطل بنجاح
success_over_delete,تم حذف يطل بنجاح
err_over_name,يرجى تقديم اسم تطل
err_over_len,يجب أن يكون طول اسم يطل أكبر من 4
err_over_exist,وجدت يطل اسم بالفعل في النظام
delete_contact_label,حذف الاتصال رسالة؟
contact_delete_confirm_message,هل تريد حذف رسالة الاتصال؟
detail_contact_label,الاتصال رسالة التفاصيل
contact_info_label,معلومات الاتصال رسالة
about_contact_label,معلومات الاتصال رسالة
contact_info_label,معلومات الاتصال التفاصيل
contact_name,اسم شخص الاتصال
contact_email,شخص الاتصال البريد الإلكتروني
contact_phone,شخص الاتصال الهاتف
btn_reset,إعادة تعيين
reset_password,إعادة تعيين كلمة المرور
contact_receive_message,لقد تلقيت اتصال لنا رسالة جديدة.
nav_profile,الذهاب إلى الملف الشخصي
nav_backend,الذهاب إلى الخلفية
nav_logout,تسجيل خروج
total_label,مجموع :
device_label,جهاز
devices_label,الأجهزة
registered_label,وقد تم تسجيل لإعلام دفع
noti_info,إعلام دفع
noti_message_label,رسالة
noti_message_tooltips,يرجى تقديم بإرسال رسالة للإعلام الدفع.
noti_send_btn,إرسال إشعار دفع
sorry_no_device,عذرا، لا يوجد جهاز مسجل للإعلام دفع.
select_cat,اختر الفئة
success_noti_add,تمت إضافة إخطارا بنجاح
success_noti_delete,لقد تم حذف إخطارا بنجاح
delete_noti_label,إعلام الحذف؟
noti_yes_message,سوف إعلام نعم-حذف من النظام.
push_message,رسالة دفع
noti_des_label,وصف
noti_img,إخطار صور
noti_search,البحث نوتي
select_cat,اختر الفئة
noti_add,إضافة نوتي
app_info_lable,معلومات عن
about_title_label,معلومات عن عنوان
description_label,وشك الوصف
about_email_label,معلومات البريد الإلكتروني
about_phone_label,عن الهاتف
about_website_label,عن رابط لموقع إلكتروني
about_seo_section,معلومات SEO
about_seo_title_label,SEO عنوان
about_seo_desc_label,SEO الوصف
about_seo_keywords_label,SEO كلمات
about_social_section,معلومات الاجتماعي
about_facebook_label,موقع التواصل الاجتماعي الفيسبوك
about_gplus_label,في + Google
about_instagram_label,إينستاجرام
about_youtube_label,موقع YouTube
about_pinterest_label,موقع Pinterest
about_twitter_label,تويتر
about_color_section,حول الموقع موضوع اللون
about_theme,الموضوعات المتاحة
success_about_edit,معلومات يتم تحديثها بنجاح
about_ads_analyt,جوجل التحليلية و إعلانات إعداد
about_ads_client,العميل الإعلانات
about_ads_slot,إعلانات فتحة
about_analyt_track_id,تحليلي المسار رقم
about_ads_on,تمكين جوجل ادسنس
about_analyt_on,تمكين جوجل تحليلية
gdpr_label,GDPR المحتوى
safety_tips_label,نصائح السلامة
about_nav_icon,الإنتقال أيقونة
about_fav_icon,الصوت العربي الحر أيقونة
about_backend_icon,لالخلفية
total_users_count_label,المستخدمون المسجلون
total_cat_count_label,عدد الأقسام
total_wallpaper_count_label,نشر خلفيات
total_contact_label,إجمالي الاتصال رسالة
total_likes_count_label,إجمالي عدد معجب
total_favs_count_label,العدد الإجمالي المفضلة
total_comments_count_label,عد مجموع التعليقات
category_panel_title,التصنيفات الأخيرة
recent_news_panel_title,أخبار حديثة
available_inside,الأخبار المتاحة داخل هذه الفئة.
contact_message,رسائل الاتصال
recent_news_panel_title,أخبار حديثة
user_latest_members,أحدث الأعضاء المسجلين والمفعلين
success_contact,رسالتك حفظ بنجاح في النظام.
file_na,غير متوفر
required_platform,منصة المطلوبة
err_noti_register,عذرا، هناك مشكلة للتسجيل اضغط إعلام
success_noti_register,الجهاز بنجاح تسجيل للإعلام دفع.
success_noti_unregister,الجهاز غير مسجلة بنجاح لإعلام دفع.
err_noti_unregister,عذرا، هناك مشكلة لإلغاء التسجيل دفع الإخطار
success_touch_count,تم إدخال عدد اللمس بنجاح.
err_touch_count,عدد مشكلة في اللمس!
err_user_register,عذرا، هناك مشكلة للتسجيل المستخدم.
err_user_not_exist,عذرا، المستخدم غير موجودة في النظام.
err_user_not_verify,عذرا، حسابك لم تحقق حتى الان.
err_email_not_send,عذرا، هناك مشكلة في إرسال البريد الإلكتروني.
err_user_update,نعتذر، ليس هناك مشكلة في معلومات المستخدم التحديث.
err_user_password_update,نعتذر، ليس هناك مشكلة في كلمة المرور للمستخدم تحديث ل.
success_profile_update,تحديث ملفك الشخصي بنجاح.
success_email_sent,يتم إرسال البريد الإلكتروني بنجاح.
success_reset,كلمة تم إعادة تعيين بنجاح
success_reset_email_sent,يتم إرسال البريد الإلكتروني بنجاح إعادة تعيين
trending,تتجه أخبار
editor_pick,محرر التقطت الأخبار
project_name,اسم المشروع النوع
project_search,بحث نوع المشروع
att_add,إضافة سمة جديدة
add_att_detail,إضافة جديد السمة التفاصيل
list_attribute_header,السمة قائمة رأس
wrn_no_data,لا توجد بيانات حتى الآن
project_add,إضافة نوع المشروع
att_name,اسم السمة
Prd_search_subcat,اختر اسم النوع
Prd_search_dis,اختر نوع الخصم
project_info,مشروع معلومات نوع
project_edit,تحرير نوع المشروع
delete_project_label,حذف نوع المشروع؟
att_info,معلومات السمة
project_delete_confirm_message,هل تريد حذف أنواع المشاريع؟
project_yes_all_message,نعم جميع - مشروع النوع سيتم حذف من النظام.
success_project_edit,تم تحديث المشاريع من النوع بنجاح
success_project_add,تمت إضافة نوع المشروع بنجاح
success_project_delete,تم حذف المشاريع من النوع بنجاح
err_project_name,يرجى تقديم اسم نوع المشروع
success_upload,تم تحديث الصورة بنجاح
err_project_len,يجب أن يكون طول نوع المشروع اسم أكبر من 4
err_project_exist,وجدت نوع المشروع اسم بالفعل في النظام
item_description_label,وصف
deal_option_id_label,صفقة الخيار
meet_up_label,نلتقي
mailing_or_delivery_label,بريدية أو تسليم
brand_label,علامة تجارية
price,السعر
itm_title_label,عنوان
itm_business_mode,هو محل؟
itm_show_shop,(إذا كان يمكن أن تظهر للمستخدم من أجل أكثر من واحد)
itm_is_sold_out,وبيعت؟
location_info_label,معلومات الموقع
itm_address_label,عنوان
itm_lat_label,خط العرض
itm_lng_label,خط الطول
itm_select_price,حدد السعر نوع
itm_select_currency,اختر سيارة العملات
status_label,الحالة
select_status_label,اختر الحالة
find_location_label,اكتب والبحث عن موقع من API جوجل
itm_select_deal_option,اختر صفقة الخيار
itm_steering_position,الوظيفة التوجيهية
itm_no_of_owner,لا من المالك
itm_trim_name_label,اسم تريم
itm_vehicle_id_label,رقم المركبة
itm_mileage_label,عدد الأميال
itm_select_fuel,تحديد أنواع الوقود
itm_price_unit_label,سعر الوحدة
itm_max_passengers_label,الركاب ماكس
itm_no_of_doors_label,عدد الأبواب
itm_select_build,حدد نوع البناء
itm_select_seller_type,اختر نوع البائع
itm_select_color,إختر لون
itm_licence_status,هي حالة الترخيص؟
plat_number_label,رقم لوحة
engine_power_label,قوة المحرك
year_label,عام
itm_select_transmission,اختر اسم الإرسال
price_type_label,السعر نوع
license_expiration_date_label,رخصة تاريخ انتهاء الصلاحية
other_info_lable,الآخرين
confi_info_lable,ترتيب
performance_info_lable,أداء
licence_info_lable,رخصة
price_info_lable,السعر
api_info,إعداد API
api_title,إعداد API
api_title_tooltips,اسم API
api_order_by,ترتيب حسب
btn_save,حفظ
btn_cancel,إلغاء
success_api_edit,تم التحديث بنجاح
about_gallery,صالة عرض
wallpaper_edit,تحرير الخلفيات
categories_label,التصنيفات
messages_label,رسائل
categories_label,التصنيفات
view_all_label,عرض جميع
divider_label,:
wallpapers_label,خلفيات
users_label,المستخدمين
app_setting,التطبيق معلومات إعداد
apikey_info,المعهد معلومات مفتاح
key_label,مفتاح
success_apikey_edit,يتم تحديث المعهد مفتاح بنجاح
success_apikey_add,وأضاف المعهد مفتاح بنجاح
earn_point_label,كسب نقطة
currency_symbol,رمز العملة
currency_short_form,نموذج قصيرة العملات
currency_add,إضافة العملات
success_currency_edit,لقد تم تحديث عملة بنجاح
success_currency_add,تمت إضافة العملة بنجاح
success_currency_delete,لقد تم حذف العملة بنجاح
delete_currency_label,العملات الحذف؟
currency_delete_confirm_message,هل تريد حذف العملات؟
currency_search,البحث العملات
currency_edit,تحرير العملات
err_currency_name,يرجى تقديم اسم العملة
err_currency_len,يجب أن يكون طول اسم العملة أكبر من 4
err_currency_exist,وجدت اسم العملة بالفعل في النظام
color_color,اللون
select_type,اختر صنف
from_point,من نقطة:
to_point,أن نشير :
order_by,ترتيب حسب :
select_order,اختر طلبا
push_noti_sending_title,إرسال إشعار دفع
no_device_label,لا يوجد أي الأجهزة المسجلة حتى الان.
delete_color_label,حذف اللون؟
color_delete_confirm_message,هل تريد إلغاء ربط جميع خلفيات تحت هذا اللون حذف؟
upload_icon,فئة أيقونة
about_upload_icon,تحميل أيقونة
fav_upload_icon,الصوت العربي الحر أيقونة
sidebar_upload_icon,الخلفية شعار
btn_upload,تحميل
not_enough_point,عذرا، وجهة نظرك ليست كافية.
view_count,عرض التهم
earn_point_label,حصل نقطة
download_count,عدد تحميل
rating_count,عدد التقييم
terms_label,الأحكام والشروط
about_img,حول صورة الغلاف
massupload_info,كتلة خلفيات تحميل عن طريق ملف CSV
select_csv_file,حدد ملف CSV
something_wrong_upload,الخطأ شيء في البيانات الخاصة بك التي تم تحميلها.
pls_upload_csv,يرجى تحميل ملف CSV.
sample_csv_format,CSV عينة هنا هو: https://www.dropbox.com/s/oheyivxfgdlk129/sample.csv؟dl=0
csv_upload_instruction,"يرجى اتباع هذه الخطوات في أدناه: <BR>
المجلد 1. تحميل الصور لتحميل يدويا عبر FTP. <BR>
2. تحميل الصور المصغرة الصور لتحميل / مصغرة مجلد manully عبر FTP. <BR>
3. ثم إعداد مثل شكل CSV. عينة هنا: http://bit.ly/2UvCjRp <BR>
4. ضرورة اتباع تلك القواعد. هنا: http://bit.ly/2T1Tjgp <BR>
5. يمكنك استخدام ورقة جوجل لإنشاء وتصدير وفاصل فاصلة. <BR>
6. الموصى بها حوالي 100 سجل في CSV واحد. ""؛"
noti_sent_fail,فشل في إرسال إشعار الدفع
noti_sent_success,أرسلت بنجاح دفع الاخطار ل
reject_message_1,آسف! رفض ورق الجدران (
reject_message_2,)
approve_message_1,تهنئة! وافقت لورق الحائط (
approve_message_2,)
uploaded_user,العضو مرفوع
select_multiple_images,يرجى تحديد عدة صور ورق الحائط.
multiple_images_message,ملاحظة: صور ورق الحائط الخاص بك سيكون إنقاذ نفسها من أجل الاسم، التصنيف، واسطة، واللون، النوع، علامة، نقطة، نشر، يوصي.
multiple_wallpaper_title,"متعددة خلفيات تحميل ""واسطة، واللون، النوع، علامة، نقطة، نشر، يوصي""."
delete_user_label,حذف عضو مسجل؟
user_delete_confirm_message,هل تريد حذف كل عضو مسجل؟
user_yes_all_label,نعم جميعا
user_no_only_label,الوحيد الفئة
success_user_delete,لقد تم حذف العضو المسجل بنجاح
credit,ائتمان
price_info,معلومات السعر
price_name,اسم الأسعار
price_edit,تحرير الأسعار
price_add,إضافة الأسعار
price_search,البحث السعر
delete_price_label,الأسعار الحذف؟
price_delete_confirm_message,هل تريد حذف الأسعار؟
err_price_name,يرجى تقديم اسم السعر
err_price_len,يجب أن يكون طول اسم الأسعار أكبر من 4
err_price_exist,وجدت السعر الاسم بالفعل في النظام
success_price_edit,تم تحديث السعر بنجاح
success_price_add,تمت إضافة سعر بنجاح
success_price_delete,لقد تم حذف السعر بنجاح
type_info,الوعاء نوع
type_name,أكتب اسم
type_edit,تحرير نوع
type_add,إضافة نوع
type_search,نوع البحث
delete_type_label,حذف نوع؟
type_delete_confirm_message,هل تريد حذف نوع؟
err_type_name,يرجى تقديم اسم نوع
err_type_len,يجب أن يكون طول اسم نوع أكبر من 4
err_type_exist,وجدت النوع الاسم بالفعل في النظام
success_type_edit,تم تحديث نوع بنجاح
success_type_add,تمت إضافة نوع بنجاح
success_type_delete,لقد تم حذف نوع بنجاح
project_name,اسم المشروع النوع
project_search,بحث نوع المشروع
project_add,إضافة نوع المشروع
project_info,مشروع معلومات نوع
project_edit,تحرير نوع المشروع
delete_project_label,حذف نوع المشروع؟
project_delete_confirm_message,هل تريد حذف أنواع المشاريع؟
project_yes_all_message,نعم جميع - مشروع النوع سيتم حذف من النظام.
success_project_edit,تم تحديث المشاريع من النوع بنجاح
success_project_add,تمت إضافة نوع المشروع بنجاح
success_project_delete,تم حذف المشاريع من النوع بنجاح
err_project_name,يرجى تقديم اسم نوع المشروع
err_project_len,يجب أن يكون طول نوع المشروع اسم أكبر من 4
post_name,أرسلت بواسطة اسم
post_search,بحث أرسلت بواسطة
post_add,إضافة أرسلت بواسطة
post_info,أرسلت بواسطة معلومات
post_edit,تحرير أرسلت بواسطة
delete_post_label,حذف أرسلت بواسطة؟
post_delete_confirm_message,هل تريد حذف أرفق؟
post_yes_all_message,نعم جميع - نشرت وعن طريق حذف من النظام.
success_post_edit,أرسلت بواسطة تم تحديث بنجاح
success_post_add,أرسلت بواسطة تمت إضافة بنجاح
success_post_delete,أرسلت بواسطة قد تم حذفه بنجاح
err_post_name,يرجى تقديم المرسلة بواسطة اسم
err_post_exist,أرسلت بواسطة اسم غير موجودة بالفعل في النظام
err_post_len,يجب أن يكون طول أرسلت بواسطة اسم أكبر من 4
available_name,اسم التوفر
available_search,البحث التوفر
available_add,إضافة التوفر
available_info,معلومات التوفر
available_edit,تحرير التوفر
delete_available_label,التوفر الحذف؟
available_delete_confirm_message,هل تريد حذف توافر؟
available_yes_all_message,نعم جميع - الشواغر سيتم حذف من النظام.
success_available_edit,تم تحديث توفر بنجاح
success_available_add,تمت إضافة التوفر بنجاح
success_available_delete,لقد تم حذف توفر بنجاح
err_available_name,يرجى تقديم اسم توفر
err_available_len,يجب أن يكون طول التوفر اسم أكبر من 4
err_available_exist,وتوجد بالفعل اسم توفر في النظام
ban_info,الصفحة الرئيسية معلومات راية
ban_name,لافتة اسم الصورة
ban_edit,تحرير الرئيسية راية
ban_add,إضافة الرئيسية راية
ban_image,صورة بانر
ban_search,بحث بيتية راية
delete_ban_label,حذف الرئيسية راية؟
ban_delete_confirm_message,هل تريد حذف الصفحة الرئيسية راية النوع؟
err_ban_name,يرجى تقديم اسم راية الوطن
err_ban_len,يجب أن يكون طول الرئيسية راية اسم أكبر من 4
err_ban_exist,وجدت المنزل راية الاسم بالفعل في النظام
success_ban_edit,تم تحديث الرئيسية راية بنجاح
success_ban_add,تمت إضافة الرئيسية راية بنجاح
success_ban_delete,تم حذف الصفحة الرئيسية راية بنجاح
location_info,المدينة معلومات
location_name,اسم الموقع
location_edit,تحديد الوجهة
location_add,إضافة الموقع
location_search,بحث الموقع
delete_location_label,حذف الموقع؟
location_delete_confirm_message,هل تريد حذف الموقع؟
err_location_name,يرجى تقديم اسم الموقع
err_location_len,يجب أن يكون طول اسم المكان أكبر من 4
err_location_exist,وجدت اسم المكان بالفعل في النظام
success_location_edit,تم تحديث الموقع بنجاح
success_location_add,تمت إضافة الموقع بنجاح
success_location_delete,لقد تم حذف الموقع بنجاح
blog_add,أضف مدونتك
blog_info,معلومات بلوق
blog_name,مقالات اسم
blog_desc,وصف المدونة
blog_edit,تحرير المدونات
success_blog_add,تمت إضافة بلوق بنجاح
success_blog_edit,تم تحديث بلوق بنجاح
err_dup_name,وجدت الاسم بالفعل في النظام
err_blog_exist,مقالات وجدت اسم بالفعل في النظام
delete_blog_label,مدونة الحذف؟
blog_delete_confirm_message,هل أنت متأكد من حذف هذه بلوق؟
success_blog_delete,تم حذف بلوق بنجاح
err_blog_len,يجب أن يكون طول بلوق اسم أكبر من 4
err_blog_name,يرجى تقديم اسم بلوق
blog_search,بلوق البحث
blog_gallery,مقالات معرض الصور
btn_disable,تعطيل
report_edit,تقرير تحرير عنصر
total_category_count_label,عدد الأقسام
total_sub_cat_count_label,عدد الفئات الفرعية
total_blog_count_label,مجموع المدونات
total_contact_count_label,إجمالي الاتصال رسالة
popular_item,البند الأكثر شعبية
item_report,ذكر البند
items_label,عناصر أضيفت مؤخرا
item_img,البند صورة
popular_item_info,شعبية البند المعلومات
popular_item_view,مشاهدة السلعة الشعبية
app_setting_lable,التطبيق معلومات إعداد
app_lat_label,خط العرض
app_lng_label,خط الطول
location_info_label,معلومات الموقع
err_chat_history_not_exist,العثور على أي سجل في التاريخ الدردشة
accept_update_success,تم تحديث قبول العرض بنجاح
err_accept_update,نعتذر، ليس هناك مشكلة في قبول العرض
count_update_success,تم تحديث عدد إعادة تعيين بنجاح
err_count_update,نعتذر، ليس هناك مشكلة في العد إعادة تعيين
price_update_success,تم تحديث السعر بنجاح
err_price_update,عذرا، هناك مشكلة في السعر
err_accept_offer,عذرا ، لا يمكنك قبول العرض مرة أخرى.
overall_rating,تقييم
user_is_verify_do_forgot_password,يتم التحقق من حسابك من فضلك لذلك نسيت كلمة السر.
user_view,عرض العضو
user_address,عنوان
user_city,مدينة
about_me,عني
verify_type,تحقق من نوع
follower_count,عدد أتباع
following_count,وبعد عدد
user_profile,الملف الشخصي صورة
email_verify,البريد الإلكتروني التحقق
facebook_verify,الفيسبوك التحقق
google_verify,جوجل تحقق
phone_verify,الهاتف تحقق
condition_name,حالة اسم
cond_search,بحث الحالة
condition_add,إضافة شرط
condition_info,البند الحالة معلومات
cond_edit,تحرير الشرط
delete_condition_label,حذف الشرط؟
condition_delete_confirm_message,هل تريد حذف الشروط؟
condition_yes_all_message,نعم جميع - الحالة وحدات وحذف من النظام.
success_condition_edit,تم تحديث حالة بنجاح
success_condition_add,تم إضافة شرط بنجاح
success_condition_delete,تم حذف شرط بنجاح
err_condition_name,يرجى تقديم اسم شرط
err_condition_len,يجب أن يكون طول الشرط اسم أكبر من 4
err_condition_exist,وجدت حالة الاسم بالفعل في النظام
cat_module,التصنيفات
overlooking_module,تطل على
contact_module,الاتصال بنا رسالة
sys_user_module,المستخدمين النظام
register_user_module,المستخدمون المسجلون
about_module,حول التطبيق
push_noti_module,إعلام دفع
analytics_module,تحليلات
export_db_module,تصدير قاعدة البيانات
app_setting_module,إعداد APP
property_module,خاصية
popular_property_module,الأكثر الملكية الشعبية
projecttype_module,أنواع المشاريع
postedby_module,منشور من طرف
apikey_module,المعهد مفاتيح
apis_module,إعداد API
availability_module,توفر
rating_module,معظم تقييم المستخدمين
sellertype_module,نوع البائع
transmissions_module,الإرسال
banners_module,الصفحة الرئيسية راية
item_conditions_module,شرط
version_module,نسخة التطبيق
item_currency_module,عملة
item_price_module,السعر
item_type_module,نوع
blog_module,مدونة
item_reports_module,الملكية المبلغ عنها
app_setting_module,إعداد التطبيق
location_module,???? ?????
language_module,اللغات
lang_name,اسم اللغة
btn_active,نشيط
lang_string,سلسلة اللغة
lang_add,إضافة لغة
lang_info,اللغة المعلومات
lang_symbol,رمز
lang_search,لغة البحث
lang_edit,تحرير اللغة
success_lang_edit,تم تحديث اللغة بنجاح
success_lang_add,تم إضافة اللغة بنجاح
success_lang_delete,تم حذف اللغة بنجاح
err_lang_name,يرجى تقديم اسم اللغة
err_lang_len,يجب أن يكون طول اسم اللغة أكبر من 4
err_lang_exist,وجدت اسم اللغة بالفعل في النظام
delete_lang_label,حذف اللغة؟
lang_delete_confirm_message,هل تريد حذف جميع سلسلة بموجب ذلك جنبا إلى جنب اللغة؟
lang_yes_all_label,نعم جميعا
lang_no_only_label,فقط اللغة
lang_yes_all_message,نعم جميع - اللغة وحدات وحذف من النظام.
language_id,لغة
lang_string_key,مفتاح
lang_string_value,القيمة
lang_string_info,معلومات سلسلة اللغة
select_language,اللغة المختارة
btn_import,استيراد
csv_symbol_link,نموذج ملف CSV هنا
lang_str_search,بحث سلسلة اللغة
success_langstr_import,سلسلة اللغة بنجاح تحميل ملف CSV
lang_str_add,إضافة سلسلة اللغة
lang_str_edit,تحرير سلسلة اللغة
lang_active,نشيط
lang_deactive,إبطال
success_lang_str_edit,تم تحديث سلسلة اللغة بنجاح
success_lang_str_add,تمت إضافة سلسلة اللغة بنجاح
err_lang_str_name,يرجى تقديم لغة اسم سلسلة
err_lang_str_len,يجب أن يكون طول سلسلة لغة أكبر من 4
err_lang_str_exist,وجدت سلسلة اللغة بالفعل في النظام
lang_title,اللغة محذوفة؟
lang_warning,لا يمكنك حذف اللغة النشطة.
btn_ok,حسنا
list_lang_label,اللغات
list_lang_str_label,لغة سلاسل
err_lang_symbol,يرجى تقديم رمز اللغة
entry_group,دخول
reports_group,تقارير
user_mang_group,إدارة المستخدمين
miscellaneous_group,متنوع
setting_group,ضبط
ple_sub_cat_name,يرجى اسم الفئة الفرعية
ple_highlight_info,يرجى تسليط الضوء على معلومات
forget_pwd,هل نسيت كلمة المرور؟
remove_label,إزالة
paid_item_module,تقرير الملكية المدعومة
his_info,معلومات التاريخ
start_date_label,تاريخ البدء
end_date_label,تاريخ الانتهاء
amount_label,كمية
payment_method_label,طريقة الدفع او السداد
progress_label,تقدم
finished_label,تم الانتهاء من
not_yet_start_label,لم يبدأ بعد
today_label,اليوم
backend_setting_module,إعداد الخلفية
backend_config_info_lable,الخلفية معلومات إعداد
sender_name_label,اسم المرسل
receive_email_label,استلام بريد الكتروني
sender_email_label,البريد الإلكتروني المرسل
img_section,القسم صورة
fcm_api_key_label,مفتاح API FCM
backend_login_img,الخلفية الدخول صورة الخلفية
backend_logo,الخلفية شعار
backend_fav_icon,الخلفية الصوت العربي الحر منظمة البن الدولية
upload_backend_logo,تحميل الخلفية شعار
upload_fav_icon,تحميل الصوت العربي الحر أيقونة
upload_login_img,إضافة أغاني دخول صور
transaction_module,المعاملات التاريخ
history_search,المعاملات عمليات البحث السابقة
trans_history_info,المعاملات معلومات التاريخ
today_label,اليوم
second_ago,ثواني
minute_ago,الدقائق
hour_ago,ساعات
day_ago,أيام
week_ago,أسابيع
month_ago,الشهور
year_ago,سنوات
decade_ago,عقود
just_now_label,في هذة اللحظة
ago_label,منذ
user_acc_reg_label,جديد التسجيل في حساب المستخدم
user_register_success_but_email_not_send,تسجيل المستخدم النجاح ولكن لا ترسل البريد الإلكتروني
pwd_reset_label,إعادة تعيين كلمة المرور
hi_label,مرحبا
pwd_reset_link,الرجاء الضغط على الرابط التالي لإعادة تعيين كلمة المرور الخاصة بك
reset_link_label,إعادة تعيين كلمة المرور
best_regards_label,تحياتي الحارة
new_user_acc,تم إنشاء حساب المستخدم الجديد الخاص بك. مرحبًا بك في Ad House. يرجى التحقق من الرمز الموجود أدناه لتنشيط حسابك.
verify_code_label,كود التحقق
hi_admin_label,مرحبا الادارية
name_label,اسم
email_label,البريد الإلكتروني
phone_label,هاتف
msg_label,رسالة
verify_code_sent,تم إرسال رمز التحقق.
user_id_required,مطلوب هوية المستخدم.
invalid_login_user_id,معرف المستخدم غير صالح.
already_accept_user,وقد تم قبول المستخدم.
sender_id_required,مطلوب هوية المرسل
success_delete,تم الحذف بنجاح.
success_cat_request,طلبك بنجاح.
err_cat_request,عذرا، طلبك لا نجاح.
err_chat_history_save,عذرا، سجل الدردشات غير قادرة على حفظ.
accept_reset_success,طلبك دردشة بنجاح.
error_delete_chat_history,عذرا، سجل الدردشات غير قادرة على حذف.
